"Worker_ID","Name","Gender","Salary","Level"
1,"Employee_1","Male",13982,"A1"
2,"Employee_2","Male",31562,"B2"
3,"Employee_3","Male",10000,"B2"
4,"Employee_4","Female",30916,"B2"
5,"Employee_5","Male",34478,"B2"
6,"Employee_6","Female",18533,"A1"
7,"Employee_7","Female",10406,"A1"
8,"Employee_8","Female",27237,"A5-F"
9,"Employee_9","Male",16848,"A1"
10,"Employee_10","Male",25771,"B2"
11,"Employee_11","Female",26729,"A5-F"
12,"Employee_12","Female",19101,"A1"
13,"Employee_13","Female",23091,"A5-F"
14,"Employee_14","Male",17584,"A1"
15,"Employee_15","Female",34531,"B2"
16,"Employee_16","Male",26084,"B2"
17,"Employee_17","Female",6834,"B2"
18,"Employee_18","Male",8110,"B2"
19,"Employee_19","Male",14452,"A1"
20,"Employee_20","Male",11308,"A1"
21,"Employee_21","Male",26098,"B2"
22,"Employee_22","Female",30632,"B2"
23,"Employee_23","Male",13274,"A1"
24,"Employee_24","Male",24851,"B2"
25,"Employee_25","Male",30441,"B2"
26,"Employee_26","Male",15516,"A1"
27,"Employee_27","Female",28760,"A5-F"
28,"Employee_28","Female",34694,"B2"
29,"Employee_29","Male",9171,"B2"
30,"Employee_30","Female",26597,"A5-F"
31,"Employee_31","Male",20389,"B2"
32,"Employee_32","Female",12384,"A1"
33,"Employee_33","Male",12089,"A1"
34,"Employee_34","Female",11517,"A1"
35,"Employee_35","Female",15562,"A1"
36,"Employee_36","Male",23546,"B2"
37,"Employee_37","Male",10496,"A1"
38,"Employee_38","Male",20185,"B2"
39,"Employee_39","Male",15847,"A1"
40,"Employee_40","Female",29016,"A5-F"
41,"Employee_41","Male",18669,"A1"
42,"Employee_42","Female",22065,"A5-F"
43,"Employee_43","Female",14639,"A1"
44,"Employee_44","Male",28465,"B2"
45,"Employee_45","Male",16359,"A1"
46,"Employee_46","Male",6561,"B2"
47,"Employee_47","Male",27924,"B2"
48,"Employee_48","Female",20763,"A5-F"
49,"Employee_49","Male",8813,"B2"
50,"Employee_50","Male",20507,"B2"
51,"Employee_51","Female",30564,"B2"
52,"Employee_52","Male",25435,"B2"
53,"Employee_53","Male",21221,"B2"
54,"Employee_54","Male",15152,"A1"
55,"Employee_55","Male",13175,"A1"
56,"Employee_56","Female",33582,"B2"
57,"Employee_57","Female",15832,"A1"
58,"Employee_58","Male",10566,"A1"
59,"Employee_59","Female",22745,"A5-F"
60,"Employee_60","Male",20079,"B2"
61,"Employee_61","Male",17530,"A1"
62,"Employee_62","Female",23537,"A5-F"
63,"Employee_63","Female",25342,"A5-F"
64,"Employee_64","Male",11154,"A1"
65,"Employee_65","Male",26104,"B2"
66,"Employee_66","Female",33011,"B2"
67,"Employee_67","Male",21769,"B2"
68,"Employee_68","Male",15642,"A1"
69,"Employee_69","Male",34132,"B2"
70,"Employee_70","Male",13332,"A1"
71,"Employee_71","Female",5030,"B2"
72,"Employee_72","Male",19237,"A1"
73,"Employee_73","Male",18426,"A1"
74,"Employee_74","Male",19101,"A1"
75,"Employee_75","Male",25573,"B2"
76,"Employee_76","Female",25169,"A5-F"
77,"Employee_77","Female",17303,"A1"
78,"Employee_78","Male",33356,"B2"
79,"Employee_79","Female",12587,"A1"
80,"Employee_80","Female",13369,"A1"
81,"Employee_81","Female",16680,"A1"
82,"Employee_82","Female",33111,"B2"
83,"Employee_83","Male",26915,"B2"
84,"Employee_84","Female",9619,"A5-F"
85,"Employee_85","Female",18211,"A1"
86,"Employee_86","Female",10697,"A1"
87,"Employee_87","Male",21587,"B2"
88,"Employee_88","Male",8246,"B2"
89,"Employee_89","Female",17210,"A1"
90,"Employee_90","Male",23804,"B2"
91,"Employee_91","Female",28173,"A5-F"
92,"Employee_92","Female",29015,"A5-F"
93,"Employee_93","Male",23815,"B2"
94,"Employee_94","Female",10241,"A1"
95,"Employee_95","Female",28950,"A5-F"
96,"Employee_96","Male",16666,"A1"
97,"Employee_97","Male",7362,"B2"
98,"Employee_98","Female",5258,"B2"
99,"Employee_99","Male",34165,"B2"
100,"Employee_100","Male",27368,"B2"
101,"Employee_101","Male",10408,"A1"
102,"Employee_102","Female",28599,"A5-F"
103,"Employee_103","Female",30930,"B2"
104,"Employee_104","Male",20459,"B2"
105,"Employee_105","Female",16255,"A1"
106,"Employee_106","Female",34803,"B2"
107,"Employee_107","Male",22708,"B2"
108,"Employee_108","Male",9105,"B2"
109,"Employee_109","Male",25649,"B2"
110,"Employee_110","Female",24735,"A5-F"
111,"Employee_111","Female",28899,"A5-F"
112,"Employee_112","Female",25454,"A5-F"
113,"Employee_113","Female",7449,"B2"
114,"Employee_114","Male",6232,"B2"
115,"Employee_115","Male",16731,"A1"
116,"Employee_116","Female",31426,"B2"
117,"Employee_117","Female",6672,"B2"
118,"Employee_118","Female",24850,"A5-F"
119,"Employee_119","Male",33779,"B2"
120,"Employee_120","Female",17295,"A1"
121,"Employee_121","Male",34297,"B2"
122,"Employee_122","Female",25740,"A5-F"
123,"Employee_123","Male",7588,"B2"
124,"Employee_124","Male",20665,"B2"
125,"Employee_125","Male",27853,"B2"
126,"Employee_126","Female",26577,"A5-F"
127,"Employee_127","Female",7329,"B2"
128,"Employee_128","Male",22992,"B2"
129,"Employee_129","Male",24722,"B2"
130,"Employee_130","Male",11006,"A1"
131,"Employee_131","Female",26765,"A5-F"
132,"Employee_132","Male",23143,"B2"
133,"Employee_133","Female",21587,"A5-F"
134,"Employee_134","Female",10338,"A1"
135,"Employee_135","Female",28223,"A5-F"
136,"Employee_136","Female",24807,"A5-F"
137,"Employee_137","Female",30242,"B2"
138,"Employee_138","Female",26469,"A5-F"
139,"Employee_139","Female",18430,"A1"
140,"Employee_140","Male",9547,"B2"
141,"Employee_141","Female",30431,"B2"
142,"Employee_142","Female",6947,"B2"
143,"Employee_143","Female",10698,"A1"
144,"Employee_144","Male",15861,"A1"
145,"Employee_145","Female",6959,"B2"
146,"Employee_146","Female",5645,"B2"
147,"Employee_147","Female",6059,"B2"
148,"Employee_148","Male",8126,"B2"
149,"Employee_149","Female",33137,"B2"
150,"Employee_150","Female",22647,"A5-F"
151,"Employee_151","Male",18178,"A1"
152,"Employee_152","Female",14847,"A1"
153,"Employee_153","Male",15077,"A1"
154,"Employee_154","Female",30903,"B2"
155,"Employee_155","Male",25467,"B2"
156,"Employee_156","Male",8081,"B2"
157,"Employee_157","Male",30240,"B2"
158,"Employee_158","Male",8493,"B2"
159,"Employee_159","Male",31610,"B2"
160,"Employee_160","Male",10731,"A1"
161,"Employee_161","Male",32752,"B2"
162,"Employee_162","Female",34464,"B2"
163,"Employee_163","Female",18699,"A1"
164,"Employee_164","Female",32086,"B2"
165,"Employee_165","Male",6203,"B2"
166,"Employee_166","Female",9373,"A5-F"
167,"Employee_167","Male",29816,"B2"
168,"Employee_168","Male",25503,"B2"
169,"Employee_169","Female",28206,"A5-F"
170,"Employee_170","Male",29110,"B2"
171,"Employee_171","Female",29507,"A5-F"
172,"Employee_172","Female",14918,"A1"
173,"Employee_173","Female",23468,"A5-F"
174,"Employee_174","Female",15925,"A1"
175,"Employee_175","Male",10422,"A1"
176,"Employee_176","Male",6742,"B2"
177,"Employee_177","Male",8983,"B2"
178,"Employee_178","Female",12879,"A1"
179,"Employee_179","Female",10790,"A1"
180,"Employee_180","Female",29953,"A5-F"
